INSERT INTO `proyecto`.`alumno` (`idalumno`, `nombre`, `apellidos`, `curriculum`, `cogido`, `notamedia`, `nivelingles`, `email`, `clave`, `provincia`, `localidad`, `DNI`, `mostrar`, `imagen_perfil`, `edad`) VALUES ('1000', 'Jose María', 'Álvarez Fernández', 'curriculum/josemaria.docx', NULL, '6.4', 'medio', 'josemaria@hotmail.com', 'josemaria@hotmail.com', '15', '2130', '71901465n', NULL, 'uploads/josemaria.jpg', '21');
INSERT INTO `proyecto`.`alumno` (`idalumno`, `nombre`, `apellidos`, `curriculum`, `cogido`, `notamedia`, `nivelingles`, `email`, `clave`, `provincia`, `localidad`, `DNI`, `mostrar`, `imagen_perfil`, `edad`) VALUES ('1012', 'Alejandro', 'Coto Auguto', 'curriculum/alejandro.docx', NULL, '7.3', 'medio', 'alejandro@hotmail.com', 'alejandro@hotmail.com', '1', '1100', '61901395e', NULL, 'uploads/alejandro.jpg', '23');
INSERT INTO `proyecto`.`alumno` (`idalumno`, `nombre`, `apellidos`, `curriculum`, `cogido`, `notamedia`, `nivelingles`, `email`, `clave`, `provincia`, `localidad`, `DNI`, `mostrar`, `imagen_perfil`, `edad`) VALUES ('1013', 'Antonio', 'Mera Menéndez', 'curriculum/antonio.docx', NULL, '8.3', 'bajo', 'antonio@hotmail.com', 'antonio@hotmail.com', '1', '1000', '61901395f', NULL, 'uploads/antonio.jpg', '23');
INSERT INTO `proyecto`.`alumno` (`idalumno`, `nombre`, `apellidos`, `curriculum`, `cogido`, `notamedia`, `nivelingles`, `email`, `clave`, `provincia`, `localidad`, `DNI`, `mostrar`, `imagen_perfil`, `edad`) VALUES ('1014', 'Marcos', 'Cueva Cortés', 'curriculum/marcos.docx', NULL, '8.3', 'bajo', 'marcos@hotmail.com', 'marcos@hotmail.com', '1', '1200', '61901395f', NULL, 'uploads/marcos.jpg', '23');









